"Sample","Time","Decoder","Ann Row","Ann Class","Value",
"2840164","2.840 s","I²C","Address/data","Address read","Read",
"2840203","2.840 s","I²C","Address/data","ACK","ACK",
"2840218","2.840 s","I²C","Address/data","Data read","Data read: 80",
"2840345","2.840 s","I²C","Address/data","ACK","ACK",
"2840378","2.840 s","I²C","Address/data","Data read","Data read: 00",
"2840505","2.841 s","I²C","Address/data","NACK","NACK",
"2840545","2.841 s","I²C","Address/data","Stop condition","Stop",
"2840596","2.841 s","I²C","Address/data","Start condition","Start",
"2840624","2.841 s","I²C","Address/data","Address write","Address write: 28",
"2840735","2.841 s","I²C","Address/data","Address write","Write",
"2840772","2.841 s","I²C","Address/data","ACK","ACK",
"2840789","2.841 s","I²C","Address/data","Data write","Data write: 00",
"2840940","2.841 s","I²C","Address/data","ACK","ACK",
"2840958","2.841 s","I²C","Address/data","Data write","Data write: 02",
"2841113","2.841 s","I²C","Address/data","ACK","ACK",
"2841162","2.841 s","I²C","Address/data","Stop condition","Stop",
"2891732","2.892 s","I²C","Address/data","Start condition","Start",
"2891760","2.892 s","I²C","Address/data","Address write","Address write: 28",
"2891871","2.892 s","I²C","Address/data","Address write","Write",
"2891906","2.892 s","I²C","Address/data","ACK","ACK",
"2891923","2.892 s","I²C","Address/data","Data write","Data write: 03",
"2892067","2.892 s","I²C","Address/data","ACK","ACK",
"2892103","2.892 s","I²C","Address/data","Repeat start condition","Start repeat",
"2892119","2.892 s","I²C","Address/data","Address read","Address read: 28",
"2892230","2.892 s","I²C","Address/data","Address read","Read",
"2892296","2.892 s","I²C","Address/data","ACK","ACK",
"2892312","2.892 s","I²C","Address/data","Data read","Data read: 80",
"2892439","2.892 s","I²C","Address/data","ACK","ACK",
"2892472","2.892 s","I²C","Address/data","Data read","Data read: 00",
"2892599","2.893 s","I²C","Address/data","NACK","NACK",
"2892639","2.893 s","I²C","Address/data","Stop condition","Stop",
"2892691","2.893 s","I²C","Address/data","Start condition","Start",
"2892719","2.893 s","I²C","Address/data","Address write","Address write: 28",
"2892829","2.893 s","I²C","Address/data","Address write","Write",
"2892890","2.893 s","I²C","Address/data","ACK","ACK",
"2892907","2.893 s","I²C","Address/data","Data write","Data write: 00",
"2893058","2.893 s","I²C","Address/data","ACK","ACK",
"2893076","2.893 s","I²C","Address/data","Data write","Data write: 02",
"2893230","2.893 s","I²C","Address/data","ACK","ACK",
"2893271","2.893 s","I²C","Address/data","Stop condition","Stop",
"2943822","2.944 s","I²C","Address/data","Start condition","Start",
"2943850","2.944 s","I²C","Address/data","Address write","Address write: 28",
"2943960","2.944 s","I²C","Address/data","Address write","Write",
"2943996","2.944 s","I²C","Address/data","ACK","ACK",
"2944013","2.944 s","I²C","Address/data","Data write","Data write: 03",
"2944157","2.944 s","I²C","Address/data","ACK","ACK",
"2944182","2.944 s","I²C","Address/data","Stop condition","Stop",
"2944192","2.944 s","I²C","Address/data","Start condition","Start",
"2944209","2.944 s","I²C","Address/data","Address read","Address read: 28",
"2944320","2.944 s","I²C","Address/data","Address read","Read",
"2944358","2.944 s","I²C","Address/data","ACK","ACK",
"2944373","2.944 s","I²C","Address/data","Data read","Data read: 80",
"2944500","2.945 s","I²C","Address/data","ACK","ACK",
"2944532","2.945 s","I²C","Address/data","Data read","Data read: 00",
"2944659","2.945 s","I²C","Address/data","NACK","NACK",
"2944699","2.945 s","I²C","Address/data","Stop condition","Stop",
"2944749","2.945 s","I²C","Address/data","Start condition","Start",
"2944777","2.945 s","I²C","Address/data","Address write","Address write: 28",
"2944888","2.945 s","I²C","Address/data","Address write","Write",
"2944924","2.945 s","I²C","Address/data","ACK","ACK",
"2944942","2.945 s","I²C","Address/data","Data write","Data write: 00",
"2945093","2.945 s","I²C","Address/data","ACK","ACK",
"2945109","2.945 s","I²C","Address/data","Data write","Data write: 02",
"2945264","2.945 s","I²C","Address/data","ACK","ACK",
"2945319","2.945 s","I²C","Address/data","Stop condition","Stop",
"2995911","2.996 s","I²C","Address/data","Start condition","Start",
"2995939","2.996 s","I²C","Address/data","Address write","Address write: 28",
"2996050","2.996 s","I²C","Address/data","Address write","Write",
"2996099","2.996 s","I²C","Address/data","ACK","ACK",
"2996117","2.996 s","I²C","Address/data","Data write","Data write: 03",
"2996268","2.996 s","I²C","Address/data","ACK","ACK",
"2996293","2.996 s","I²C","Address/data","Stop condition","Stop",
"2996303","2.996 s","I²C","Address/data","Start condition","Start",
"2996320","2.996 s","I²C","Address/data","Address read","Address read: 28",
"2996431","2.996 s","I²C","Address/data","Address read","Read",
"2996470","2.996 s","I²C","Address/data","ACK","ACK",
"2996487","2.996 s","I²C","Address/data","Data read","Data read: 80",
"2996613","2.997 s","I²C","Address/data","ACK","ACK",
"2996647","2.997 s","I²C","Address/data","Data read","Data read: 00",
"2996773","2.997 s","I²C","Address/data","NACK","NACK",
"2996813","2.997 s","I²C","Address/data","Stop condition","Stop",
"2996865","2.997 s","I²C","Address/data","Start condition","Start",
"2996893","2.997 s","I²C","Address/data","Address write","Address write: 28",
"2997004","2.997 s","I²C","Address/data","Address write","Write",
"2997039","2.997 s","I²C","Address/data","ACK","ACK",
"2997058","2.997 s","I²C","Address/data","Data write","Data write: 00",
"2997208","2.997 s","I²C","Address/data","ACK","ACK",
"2997225","2.997 s","I²C","Address/data","Data write","Data write: 02",
"2997379","2.997 s","I²C","Address/data","ACK","ACK",
"2997431","2.997 s","I²C","Address/data","Stop condition","Stop",
"3048001","3.048 s","I²C","Address/data","Start condition","Start",
"3048029","3.048 s","I²C","Address/data","Address write","Address write: 28",
"3048140","3.048 s","I²C","Address/data","Address write","Write",
"3048175","3.048 s","I²C","Address/data","ACK","ACK",
"3048192","3.048 s","I²C","Address/data","Data write","Data write: 03",
"3048336","3.048 s","I²C","Address/data","ACK","ACK",
"3048361","3.048 s","I²C","Address/data","Stop condition","Stop",
"3048371","3.048 s","I²C","Address/data","Start condition","Start",
"3048388","3.048 s","I²C","Address/data","Address read","Address read: 28",
"3048499","3.048 s","I²C","Address/data","Address read","Read",
"3048559","3.049 s","I²C","Address/data","ACK","ACK",
"3048574","3.049 s","I²C","Address/data","Data read","Data read: 80",
"3048701","3.049 s","I²C","Address/data","ACK","ACK",
"3048733","3.049 s","I²C","Address/data","Data read","Data read: 00",
"3048860","3.049 s","I²C","Address/data","NACK","NACK",
"3048900","3.049 s","I²C","Address/data","Stop condition","Stop",
"3048952","3.049 s","I²C","Address/data","Start condition","Start",
"3048980","3.049 s","I²C","Address/data","Address write","Address write: 28",
"3049091","3.049 s","I²C","Address/data","Address write","Write",
"3049152","3.049 s","I²C","Address/data","ACK","ACK",
"3049169","3.049 s","I²C","Address/data","Data write","Data write: 00",
"3049320","3.049 s","I²C","Address/data","ACK","ACK",
"3049338","3.049 s","I²C","Address/data","Data write","Data write: 02",
"3049493","3.049 s","I²C","Address/data","ACK","ACK",
"3049527","3.050 s","I²C","Address/data","Stop condition","Stop",
"3100090","3.100 s","I²C","Address/data","Start condition","Start",
"3100118","3.100 s","I²C","Address/data","Address write","Address write: 28",
"3100229","3.100 s","I²C","Address/data","Address write","Write",
"3100264","3.100 s","I²C","Address/data","ACK","ACK",
"3100281","3.100 s","I²C","Address/data","Data write","Data write: 03",
"3100425","3.100 s","I²C","Address/data","ACK","ACK",
"3100461","3.100 s","I²C","Address/data","Repeat start condition","Start repeat",
"3100477","3.100 s","I²C","Address/data","Address read","Address read: 28",
"3100588","3.101 s","I²C","Address/data","Address read","Read",
"3100627","3.101 s","I²C","Address/data","ACK","ACK",
"3100642","3.101 s","I²C","Address/data","Data read","Data read: 80",
"3100769","3.101 s","I²C","Address/data","ACK","ACK",
"3100802","3.101 s","I²C","Address/data","Data read","Data read: 00",
"3100929","3.101 s","I²C","Address/data","NACK","NACK",
"3100968","3.101 s","I²C","Address/data","Stop condition","Stop",
"3101020","3.101 s","I²C","Address/data","Start condition","Start",
"3101048","3.101 s","I²C","Address/data","Address write","Address write: 28",
"3101159","3.101 s","I²C","Address/data","Address write","Write",
"3101194","3.101 s","I²C","Address/data","ACK","ACK",
"3101213","3.101 s","I²C","Address/data","Data write","Data write: 00",
"3101357","3.101 s","I²C","Address/data","ACK","ACK",
"3101375","3.101 s","I²C","Address/data","Data write","Data write: 02",
"3101520","3.102 s","I²C","Address/data","ACK","ACK",
"3101561","3.102 s","I²C","Address/data","Stop condition","Stop",
"3152180","3.152 s","I²C","Address/data","Start condition","Start",
"3152208","3.152 s","I²C","Address/data","Address write","Address write: 28",
"3152319","3.152 s","I²C","Address/data","Address write","Write",
"3152354","3.152 s","I²C","Address/data","ACK","ACK",
"3152371","3.152 s","I²C","Address/data","Data write","Data write: 03",
"3152522","3.153 s","I²C","Address/data","ACK","ACK",
"3152557","3.153 s","I²C","Address/data","Repeat start condition","Start repeat",
"3152574","3.153 s","I²C","Address/data","Address read","Address read: 28",
"3152685","3.153 s","I²C","Address/data","Address read","Read",
"3152724","3.153 s","I²C","Address/data","ACK","ACK",
"3152741","3.153 s","I²C","Address/data","Data read","Data read: 80",
"3152868","3.153 s","I²C","Address/data","ACK","ACK",
"3152901","3.153 s","I²C","Address/data","Data read","Data read: 00",
"3153027","3.153 s","I²C","Address/data","NACK","NACK",
"3153067","3.153 s","I²C","Address/data","Stop condition","Stop",
"3153119","3.153 s","I²C","Address/data","Start condition","Start",
"3153147","3.153 s","I²C","Address/data","Address write","Address write: 28",
"3153258","3.153 s","I²C","Address/data","Address write","Write",
"3153294","3.153 s","I²C","Address/data","ACK","ACK",
"3153312","3.153 s","I²C","Address/data","Data write","Data write: 00",
"3153463","3.153 s","I²C","Address/data","ACK","ACK",
"3153481","3.153 s","I²C","Address/data","Data write","Data write: 02",
"3153635","3.154 s","I²C","Address/data","ACK","ACK",
"3153690","3.154 s","I²C","Address/data","Stop condition","Stop",
"3204277","3.204 s","I²C","Address/data","Start condition","Start",
"3204305","3.204 s","I²C","Address/data","Address write","Address write: 28",
"3204416","3.204 s","I²C","Address/data","Address write","Write",
"3204467","3.204 s","I²C","Address/data","ACK","ACK",
"3204485","3.204 s","I²C","Address/data","Data write","Data write: 03",
"3204636","3.205 s","I²C","Address/data","ACK","ACK",
"3204661","3.205 s","I²C","Address/data","Stop condition","Stop",
"3204671","3.205 s","I²C","Address/data","Start condition","Start",
"3204688","3.205 s","I²C","Address/data","Address read","Address read: 28",
"3204799","3.205 s","I²C","Address/data","Address read","Read",
"3204837","3.205 s","I²C","Address/data","ACK","ACK",
"3204852","3.205 s","I²C","Address/data","Data read","Data read: 80",
"3204979","3.205 s","I²C","Address/data","ACK","ACK",
"3205012","3.205 s","I²C","Address/data","Data read","Data read: 00",
"3205139","3.205 s","I²C","Address/data","NACK","NACK",
"3205179","3.205 s","I²C","Address/data","Stop condition","Stop",
"3205242","3.205 s","I²C","Address/data","Start condition","Start",
"3205258","3.205 s","I²C","Address/data","Address write","Address write: 28",
"3205369","3.205 s","I²C","Address/data","Address write","Write",
"3205407","3.205 s","I²C","Address/data","ACK","ACK",
"3205423","3.205 s","I²C","Address/data","Data write","Data write: 00",
"3205575","3.206 s","I²C","Address/data","ACK","ACK",
"3205593","3.206 s","I²C","Address/data","Data write","Data write: 02",
"3205747","3.206 s","I²C","Address/data","ACK","ACK",
"3205796","3.206 s","I²C","Address/data","Stop condition","Stop",
"3256383","3.256 s","I²C","Address/data","Start condition","Start",
"3256399","3.256 s","I²C","Address/data","Address write","Address write: 28",
"3256510","3.257 s","I²C","Address/data","Address write","Write",
"3256546","3.257 s","I²C","Address/data","ACK","ACK",
"3256565","3.257 s","I²C","Address/data","Data write","Data write: 03",
"3256709","3.257 s","I²C","Address/data","ACK","ACK",
"3256745","3.257 s","I²C","Address/data","Repeat start condition","Start repeat",
"3256761","3.257 s","I²C","Address/data","Address read","Address read: 28",
"3256872","3.257 s","I²C","Address/data","Address read","Read",
"3256926","3.257 s","I²C","Address/data","ACK","ACK",
"3256942","3.257 s","I²C","Address/data","Data read","Data read: 80",
"3257069","3.257 s","I²C","Address/data","ACK","ACK",
"3257102","3.257 s","I²C","Address/data","Data read","Data read: 00",
"3257229","3.257 s","I²C","Address/data","NACK","NACK",
"3257269","3.257 s","I²C","Address/data","Stop condition","Stop",
"3257321","3.257 s","I²C","Address/data","Start condition","Start",
"3257349","3.257 s","I²C","Address/data","Address write","Address write: 28",
"3257459","3.257 s","I²C","Address/data","Address write","Write",
"3257522","3.258 s","I²C","Address/data","ACK","ACK",
"3257540","3.258 s","I²C","Address/data","Data write","Data write: 00",
"3257690","3.258 s","I²C","Address/data","ACK","ACK",
"3257706","3.258 s","I²C","Address/data","Data write","Data write: 02",
"3257862","3.258 s","I²C","Address/data","ACK","ACK",
"3257903","3.258 s","I²C","Address/data","Stop condition","Stop",
"3308461","3.308 s","I²C","Address/data","Start condition","Start",
"3308489","3.308 s","I²C","Address/data","Address write","Address write: 28",
"3308600","3.309 s","I²C","Address/data","Address write","Write",
"3308635","3.309 s","I²C","Address/data","ACK","ACK",
"3308652","3.309 s","I²C","Address/data","Data write","Data write: 03",
"3308796","3.309 s","I²C","Address/data","ACK","ACK",
"3308832","3.309 s","I²C","Address/data","Repeat start condition","Start repeat",
"3308848","3.309 s","I²C","Address/data","Address read","Address read: 28",
"3308959","3.309 s","I²C","Address/data","Address read","Read",
"3308998","3.309 s","I²C","Address/data","ACK","ACK",
"3309013","3.309 s","I²C","Address/data","Data read","Data read: 80",
"3309140","3.309 s","I²C","Address/data","ACK","ACK",
"3309201","3.309 s","I²C","Address/data","Data read","Data read: 00",
"3309328","3.309 s","I²C","Address/data","NACK","NACK",
"3309379","3.309 s","I²C","Address/data","Stop condition","Stop",
"3309420","3.309 s","I²C","Address/data","Start condition","Start",
"3309448","3.309 s","I²C","Address/data","Address write","Address write: 28",
"3309559","3.310 s","I²C","Address/data","Address write","Write",
"3309594","3.310 s","I²C","Address/data","ACK","ACK",
"3309612","3.310 s","I²C","Address/data","Data write","Data write: 00",
"3309756","3.310 s","I²C","Address/data","ACK","ACK",
"3309775","3.310 s","I²C","Address/data","Data write","Data write: 02",
"3309920","3.310 s","I²C","Address/data","ACK","ACK",
"3309960","3.310 s","I²C","Address/data","Stop condition","Stop",
"3360551","3.361 s","I²C","Address/data","Start condition","Start",
"3360579","3.361 s","I²C","Address/data","Address write","Address write: 28",
"3360690","3.361 s","I²C","Address/data","Address write","Write",
"3360725","3.361 s","I²C","Address/data","ACK","ACK",
"3360742","3.361 s","I²C","Address/data","Data write","Data write: 03",
"3360886","3.361 s","I²C","Address/data","ACK","ACK",
"3360922","3.361 s","I²C","Address/data","Repeat start condition","Start repeat",
"3360938","3.361 s","I²C","Address/data","Address read","Address read: 28",
"3361049","3.361 s","I²C","Address/data","Address read","Read",
"3361088","3.361 s","I²C","Address/data","ACK","ACK",
"3361103","3.361 s","I²C","Address/data","Data read","Data read: 80",
"3361230","3.361 s","I²C","Address/data","ACK","ACK",
"3361263","3.361 s","I²C","Address/data","Data read","Data read: 00",
"3361390","3.361 s","I²C","Address/data","NACK","NACK",
"3361430","3.361 s","I²C","Address/data","Stop condition","Stop",
"3361481","3.361 s","I²C","Address/data","Start condition","Start",
"3361509","3.362 s","I²C","Address/data","Address write","Address write: 28",
"3361620","3.362 s","I²C","Address/data","Address write","Write",
"3361657","3.362 s","I²C","Address/data","ACK","ACK",
"3361674","3.362 s","I²C","Address/data","Data write","Data write: 00",
"3361826","3.362 s","I²C","Address/data","ACK","ACK",
"3361843","3.362 s","I²C","Address/data","Data write","Data write: 02",
"3361998","3.362 s","I²C","Address/data","ACK","ACK",
"3362054","3.362 s","I²C","Address/data","Stop condition","Stop",
"3412652","3.413 s","I²C","Address/data","Start condition","Start",
"3412668","3.413 s","I²C","Address/data","Address write","Address write: 28",
"3412779","3.413 s","I²C","Address/data","Address write","Write",
"3412829","3.413 s","I²C","Address/data","ACK","ACK",
"3412846","3.413 s","I²C","Address/data","Data write","Data write: 03",
"3412998","3.413 s","I²C","Address/data","ACK","ACK",
"3413032","3.413 s","I²C","Address/data","Repeat start condition","Start repeat",
"3413049","3.413 s","I²C","Address/data","Address read","Address read: 28",
"3413160","3.413 s","I²C","Address/data","Address read","Read",
"3413200","3.413 s","I²C","Address/data","ACK","ACK",
"3413216","3.413 s","I²C","Address/data","Data read","Data read: 80",
"3413343","3.413 s","I²C","Address/data","ACK","ACK",
"3413376","3.413 s","I²C","Address/data","Data read","Data read: 00",
"3413503","3.414 s","I²C","Address/data","NACK","NACK",
"3413543","3.414 s","I²C","Address/data","Stop condition","Stop",
"3413594","3.414 s","I²C","Address/data","Start condition","Start",
"3413622","3.414 s","I²C","Address/data","Address write","Address write: 28",
"3413733","3.414 s","I²C","Address/data","Address write","Write",
"3413768","3.414 s","I²C","Address/data","ACK","ACK",
"3413787","3.414 s","I²C","Address/data","Data write","Data write: 00",
"3413936","3.414 s","I²C","Address/data","ACK","ACK",
"3413954","3.414 s","I²C","Address/data","Data write","Data write: 02",
"3414109","3.414 s","I²C","Address/data","ACK","ACK",
"3414160","3.414 s","I²C","Address/data","Stop condition","Stop",
"3464730","3.465 s","I²C","Address/data","Start condition","Start",
"3464758","3.465 s","I²C","Address/data","Address write","Address write: 28",
"3464869","3.465 s","I²C","Address/data","Address write","Write",
"3464904","3.465 s","I²C","Address/data","ACK","ACK",
"3464921","3.465 s","I²C","Address/data","Data write","Data write: 03",
"3465066","3.465 s","I²C","Address/data","ACK","ACK",
"3465101","3.465 s","I²C","Address/data","Repeat start condition","Start repeat",
"3465117","3.465 s","I²C","Address/data","Address read","Address read: 28",
"3465228","3.465 s","I²C","Address/data","Address read","Read",
"3465286","3.465 s","I²C","Address/data","ACK","ACK",
"3465301","3.465 s","I²C","Address/data","Data read","Data read: 80",
"3465428","3.465 s","I²C","Address/data","ACK","ACK",
"3465461","3.465 s","I²C","Address/data","Data read","Data read: 00",
"3465588","3.466 s","I²C","Address/data","NACK","NACK",
"3465628","3.466 s","I²C","Address/data","Stop condition","Stop",
"3465679","3.466 s","I²C","Address/data","Start condition","Start",
"3465707","3.466 s","I²C","Address/data","Address write","Address write: 28",
"3465818","3.466 s","I²C","Address/data","Address write","Write",
"3465880","3.466 s","I²C","Address/data","ACK","ACK",
"3465898","3.466 s","I²C","Address/data","Data write","Data write: 00",
"3466050","3.466 s","I²C","Address/data","ACK","ACK",
"3466067","3.466 s","I²C","Address/data","Data write","Data write: 02",
"3466221","3.466 s","I²C","Address/data","ACK","ACK",
"3466259","3.466 s","I²C","Address/data","Stop condition","Stop",
"3516820","3.517 s","I²C","Address/data","Start condition","Start",
"3516848","3.517 s","I²C","Address/data","Address write","Address write: 28",
"3516959","3.517 s","I²C","Address/data","Address write","Write",
"3516995","3.517 s","I²C","Address/data","ACK","ACK",
"3517013","3.517 s","I²C","Address/data","Data write","Data write: 03",
"3517157","3.517 s","I²C","Address/data","ACK","ACK",
"3517193","3.517 s","I²C","Address/data","Repeat start condition","Start repeat",
"3517209","3.517 s","I²C","Address/data","Address read","Address read: 28",
"3517320","3.517 s","I²C","Address/data","Address read","Read",
"3517359","3.517 s","I²C","Address/data","ACK","ACK",
"3517376","3.517 s","I²C","Address/data","Data read","Data read: 80",
"3517503","3.518 s","I²C","Address/data","ACK","ACK",
"3517564","3.518 s","I²C","Address/data","Data read","Data read: 00",
"3517691","3.518 s","I²C","Address/data","NACK","NACK",
"3517741","3.518 s","I²C","Address/data","Stop condition","Stop",
"3517783","3.518 s","I²C","Address/data","Start condition","Start",
"3517811","3.518 s","I²C","Address/data","Address write","Address write: 28",
"3517922","3.518 s","I²C","Address/data","Address write","Write",
"3517957","3.518 s","I²C","Address/data","ACK","ACK",
"3517976","3.518 s","I²C","Address/data","Data write","Data write: 00",
"3518119","3.518 s","I²C","Address/data","ACK","ACK",
"3518138","3.518 s","I²C","Address/data","Data write","Data write: 02",
"3518284","3.518 s","I²C","Address/data","ACK","ACK",
"3518324","3.518 s","I²C","Address/data","Stop condition","Stop",
